Lot.Area,Lot.Shape,Total.Bsmt.SF,Gr.Liv.Area,has.Fireplace,SalePrice,Bldg.Type.simple,Year.Built,Full.Bath,Bedroom.AbvGr,Garage.Area,has.Pool
"[  1300,  7440)",Reg,"[ 990,6110]",1069,1,127500,Twnhs,"[1973,2010]",2,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1456,1,149900,Twnhs,"[1973,2010]",2,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",836,0,120000,Twnhs,"[1973,2010]",1,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1456,1,146000,Twnhs,"[1973,2010]",2,3,"[   0, 480)",0
"[ 11560,215245]",IR1,"[ 990,6110]",2334,1,376162,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1704,1,306000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1940,1,395192,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1544,0,290941,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[ 990,6110]",1541,1,220000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1698,1,275000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1822,1,259000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1535,0,214000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",2364,1,611657,1Fam,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[ 990,6110]",1358,1,224000,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[ 990,6110]",2696,1,500000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[ 990,6110]",2250,1,320000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1752,1,319900,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[ 990,6110]",1370,1,205000,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1626,0,175500,Twnhs,"[1973,2010]",2,2,"[   0, 480)",0
"[ 11560,215245]",IR1,"[ 990,6110]",1324,0,199500,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[ 990,6110]",1145,0,160000,Twnhs,"[1973,2010]",2,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[ 990,6110]",1269,1,192000,Twnhs,"[1973,2010]",2,2,"[   0, 480)",0
"[ 11560,215245]",IR1,"[   0, 990)",1374,1,184500,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1960,1,216500,1Fam,"[1973,2010]",2,4,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",1733,1,185088,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",1430,1,180000,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",2035,1,222500,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[ 11560,215245]",IR1,"[ 990,6110]",2599,1,333168,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[ 11560,215245]",IR2,"[ 990,6110]",2475,1,355000,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1720,1,260400,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",2622,1,325000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",2270,1,290000,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[ 11560,215245]",IR2,"[ 990,6110]",1839,0,221000,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",3238,1,410000,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1595,1,221500,1Fam,"[1973,2010]",2,2,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1218,0,204500,1Fam,"[1973,2010]",2,2,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1547,0,215200,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1566,0,262500,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[ 990,6110]",1947,1,254900,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1468,1,271500,1Fam,"[1973,2010]",2,2,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[   0, 990)",2084,0,233000,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[   0, 990)",1659,0,181000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[   0, 990)",2110,1,205000,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",923,1,143000,Twnhs,"[1973,2010]",2,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1845,1,189000,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",918,1,99500,Twnhs,"[1973,2010]",2,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",752,0,125000,Twnhs,"[1973,2010]",1,2,"[   0, 480)",0
"[  7440, 11560)",IR1,"[ 990,6110]",1744,0,194500,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1097,0,152000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1564,1,171000,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1012,0,67500,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1902,0,112000,2Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1155,0,148000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",894,1,138500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",900,0,122000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1040,0,133000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",IR1,"[ 990,6110]",1040,0,127000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[ 11560,215245]",IR1,"[ 990,6110]",1494,1,169000,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",1923,1,190000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",2349,1,362500,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",2225,1,285000,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[ 990,6110]",1488,1,260000,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1680,0,190000,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1200,0,155000,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1200,0,151000,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1200,0,149500,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1236,0,152000,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",IR2,"[ 990,6110]",1478,1,222000,1Fam,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1573,0,177500,Twnhs,"[1973,2010]",2,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1512,0,177000,Twnhs,"[1973,2010]",2,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1416,0,155000,Twnhs,"[1973,2010]",2,3,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[   0, 990)",1080,0,147110,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1418,1,267916,1Fam,"[1973,2010]",1,1,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[   0, 990)",1848,1,254000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[   0, 990)",788,1,155000,Twnhs,"[1973,2010]",1,1,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[ 990,6110]",1226,1,206000,Twnhs,"[1973,2010]",1,1,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[   0, 990)",1479,0,130500,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1492,1,230000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1829,0,218500,1Fam,"[1872,1973)",2,4,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",2495,1,243500,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1610,1,205000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1891,1,212500,1Fam,"[1973,2010]",3,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1714,1,196500,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1381,1,197500,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1645,0,171000,1Fam,"[1872,1973)",1,4,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1232,0,142250,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1328,1,143000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[   0, 990)",1225,0,128950,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1209,0,159000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1510,0,178900,1Fam,"[1872,1973)",2,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[   0, 990)",1775,0,136300,1Fam,"[1872,1973)",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1152,1,180500,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1054,0,137500,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1728,0,84900,2Fam,"[1872,1973)",2,6,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1078,0,142125,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",2461,1,197600,1Fam,"[1872,1973)",2,3,"[   0, 480)",0
"[ 11560,215245]",Reg,"[   0, 990)",1556,1,172500,1Fam,"[1872,1973)",2,3,"[   0, 480)",0
"[  1300,  7440)",IR1,"[   0, 990)",858,0,116500,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  1300,  7440)",IR1,"[   0, 990)",1306,0,76500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1063,0,128000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1520,1,153000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1268,1,132000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",IR1,"[ 990,6110]",1128,1,178000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[ 11560,215245]",Reg,"[ 990,6110]",2274,0,154300,2Fam,"[1872,1973)",2,5,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[ 990,6110]",2207,1,180000,1Fam,"[1872,1973)",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1888,1,190000,1Fam,"[1872,1973)",2,2,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1604,0,135000,2Fam,"[1872,1973)",2,4,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1480,0,214000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1143,0,136000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[ 990,6110]",1700,1,165500,1Fam,"[1872,1973)",1,4,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1314,0,145000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1194,0,148000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[ 11560,215245]",IR1,"[ 990,6110]",1188,0,142000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1264,1,167500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[ 990,6110]",1206,0,108538,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1580,1,159500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1337,0,108000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1064,0,135000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",972,0,122500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[ 11560,215245]",Reg,"[   0, 990)",988,0,119000,2Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1057,0,109000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",985,0,105000,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",827,1,107500,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1086,0,144900,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",936,0,129000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[ 11560,215245]",Reg,"[   0, 990)",1458,1,97500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[ 990,6110]",1056,0,144000,2Fam,"[1973,2010]",0,0,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1287,1,162000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",2978,1,242000,1Fam,"[1872,1973)",2,5,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1224,0,132000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1246,0,154000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1385,0,166000,1Fam,"[1872,1973)",2,4,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",900,0,134800,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1116,0,160000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[ 990,6110]",1175,0,148000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1395,1,192000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1839,1,155000,1Fam,"[1872,1973)",1,4,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1844,1,80400,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1140,0,96500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",936,1,109500,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1028,1,115000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[ 990,6110]",1347,0,143000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1605,0,107400,1Fam,"[1872,1973)",2,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",747,0,80000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",804,1,119000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1316,0,130000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1251,0,119000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[ 11560,215245]",Reg,"[ 990,6110]",1633,1,129000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1245,0,100000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",832,1,12789,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",720,0,105900,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1566,0,150000,1Fam,"[1872,1973)",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1652,0,139000,1Fam,"[1872,1973)",2,4,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",2268,0,240000,1Fam,"[1872,1973)",3,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",2256,0,76500,2Fam,"[1872,1973)",2,4,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1236,0,149700,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1363,0,125500,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",2290,0,122500,2Fam,"[1872,1973)",2,4,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1470,0,140750,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1612,0,128500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[ 990,6110]",2068,1,209500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",765,0,87000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1132,0,134000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1196,1,128000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1453,1,132000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1416,0,139900,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1040,0,123900,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1536,1,138400,1Fam,"[1872,1973)",2,4,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[ 990,6110]",1068,1,109500,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",1710,0,140000,1Fam,"[1872,1973)",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1962,1,149500,1Fam,"[1872,1973)",1,4,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[   0, 990)",1560,0,159900,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1324,0,122000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",IR2,"[   0, 990)",816,0,110000,2Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",1092,0,55000,2Fam,"[1872,1973)",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",1812,1,140000,2Fam,"[1872,1973)",2,4,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[ 990,6110]",2403,1,244400,1Fam,"[1872,1973)",2,4,"[   0, 480)",0
"[ 11560,215245]",IR1,"[ 990,6110]",1675,1,173000,1Fam,"[1872,1973)",2,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",1224,0,107500,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1392,0,100000,2Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",IR1,"[   0, 990)",919,0,95000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",IR1,"[   0, 990)",1884,0,93369,1Fam,"[1872,1973)",1,4,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1680,1,114900,2Fam,"[1872,1973)",2,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1020,0,94000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1832,0,136000,2Fam,"[1872,1973)",2,4,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1768,0,136500,2Fam,"[1872,1973)",2,4,"[   0, 480)",0
"[ 11560,215245]",Reg,"[ 990,6110]",1039,0,131500,2Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1392,1,121500,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",912,1,125000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[ 990,6110]",1060,1,154000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
